n, colors, times,Olog(n),,O(n),,O(n^2),,O(nlog(n)),,O(2^n),,O(n^3),,O(sqrt(n)),,O(m^n)),
300,73,0.04772,-2.11363122,4.67143908,-1.33256036,1.90517388,-0.53396627,0.33835892,-1.21954721,1.60596618,2.34059524,5.25727686,0.05616688,7.13E-05,-1.751608,3.23758126,0.78480574,0.54329538
330,79,0.0628,-1.66502457,2.98537775,-1.15084949,1.47294507,-0.47885706,0.29339237,-1.06267203,1.26668729,2.34059524,5.18835115,0.06982271,4.93E-05,-1.45432634,2.30167234,1.5157364,2.11102419
363,85,0.07994,-1.21641793,1.68054387,-0.95096752,1.06277032,-0.41217492,0.24217709,-0.88767354,0.93627596,2.34059524,5.11056211,0.08799861,6.49E-05,-1.14253471,1.49444441,3.05242717,8.83567997
399,90,0.10443,-0.7713489,0.76698869,-0.73291447,0.70114576,-0.33218784,0.19063513,-0.69411966,0.63768156,2.34059524,5.00043497,0.11197165,5.69E-05,-0.81816505,0.85118164,1.84774449,3.03914542
438,97,0.14565,-0.33240386,0.22853549,-0.49669033,0.41260109,-0.23700636,0.14642589,-0.48160059,0.39344331,2.34059524,4.8177846,0.14330575,5.50E-06,-0.48288033,0.39505038,1.57557787,2.0446937
481,104,0.18063,0.10838092,0.00521993,-0.23623807,0.17377899,-0.12178146,0.09145269,-0.24417242,0.1804571,2.34059524,4.66544983,0.18495468,1.87E-05,-0.13008439,0.09654343,1.84774449,2.77927073
529,115,0.24826,0.55609789,0.09476417,0.05449934,0.03754319,0.01957804,0.05229544,0.02437311,0.05012534,2.34059524,4.37786675,0.24111096,5.11E-05,0.24557755,7.20E-06,3.80011355,12.61566363
581,121,0.33272,0.99741909,0.44182487,0.36946486,0.00135018,0.18787982,0.02097868,0.31909984,0.00018551,2.34059524,4.03156297,0.31458848,0.00032875,0.6337771,0.09063538,2.54442857,4.89165478
639,135,0.46607,1.4452892,0.95887024,0.72077256,0.06487339,0.39420404,0.00516472,0.6520773,0.03459871,2.34059524,3.51384487,0.41359465,0.00275366,1.04679113,0.33723704,2.56789725,4.4176778
702,144,0.53822,1.88786534,1.82154255,1.1023654,0.31826003,0.6405422,0.01046983,1.01837393,0.2305478,2.34059524,3.2485565,0.54352333,2.81E-05,1.47468889,0.87697398,1.84774449,1.71485439
772,156,0.69141,2.33525276,2.70221903,1.52635745,0.69713724,0.94139767,0.06249383,1.43049616,0.54624835,2.34059524,2.71981195,0.71794761,0.00070424,1.92817685,1.52959225,1.84774449,1.33710946
849,171,0.94657,2.78275075,3.37155975,1.9927487,1.09448987,1.30534297,0.12871805,1.88949941,0.88911588,2.34059524,1.94330636,0.94999187,1.17E-05,2.40385779,2.1236877,0.02895466,0.84201792
933,185,1.28488,3.22681926,3.77112808,2.50153916,1.48025951,1.74180792,0.20878312,2.39639068,1.235456,2.34059524,1.11453466,1.25590899,0.00083932,2.89878359,2.6046848,3.37335174,4.36171421
1026,199,1.65957,3.67404984,4.05812904,3.06484288,1.97479187,2.27303446,0.37633864,2.96441176,1.70261203,2.34059524,0.46379537,1.66523138,3.21E-05,3.42139888,3.10404101,3.49609834,3.37283635
1128,216,2.20784,4.12015353,3.65694305,3.68265986,2.17509363,2.9136659,0.4981902,3.59489861,1.92393158,2.34059524,0.01762395,2.20798611,2.13E-08,3.96802841,3.09826324,1.84774449,0.12966878
1240,232,2.87165,4.56572451,2.86988844,4.36104714,2.21830385,3.68699099,0.66478093,4.29541365,2.02710294,2.34059524,0.28201916,2.92825174,0.00320376,4.54048512,2.78501065,1.84774449,1.04838249
1364,249,3.84515,5.01433115,1.36698457,5.11211877,1.60520986,4.62850123,0.61363915,5.08010659,1.52511777,2.34059524,2.26368503,3.89256766,0.00224843,5.1448766,1.68928922,3.81704338,0.00078998
1500,270,5.31163,5.46168282,0.02251585,5.93587475,0.38968151,5.76422915,0.20484599,5.9507615,0.40848907,2.34059524,8.82704756,5.17194542,0.01951178,5.77695194,0.21652451,1.84774449,11.99850282
1650,293,6.86667,5.91028946,0.91466373,6.84442914,0.00049466,7.1419594,0.07578425,6.92209947,0.00307243,2.34059524,20.48535275,6.87892394,0.00015016,6.44169394,0.18060465,3.57454091,10.83811391
1815,319,9.02949,6.35889611,7.13207174,7.84383897,1.40576837,8.809013,0.04861011,8.00275022,1.05419457,2.34059524,44.74131314,9.15091236,0.01474339,7.13888123,3.57440153,3.88187236,26.49796737
1996,349,12.2312,6.80632384,29.42928134,8.94016126,10.83093597,10.82032713,1.99056227,9.20153323,9.17888076,2.34059524,97.82406256,12.16579523,0.00427778,7.8681298,19.03638153,2.20544063,100.515851
,,,,3.473832917,,1.429648012,,0.298290348,,1.230009054,,10.75686872,,0.002340523,,2.363038483,,9.711234012
